A0.	Creator.
V331.4.	Conversion to Christianity through repentance.
V331.5.	Conversion to Christianity through love.
V331.6.	Conversion to Christianity out of gratitude.
V331.7.	Saladin asks to be made a Christian knight.
V331.8.	Fairies converted to Christianity.
V331.9.	Swans (transformed children) do not suffer in harsh weather after conversion to Christianity.
V331.10.	Conversion to Christianity because of admiration for Christian virtue.
V331.10.1.	Conversion to Christianity through show of forgiveness and gentleness.
V332.	Baptism of heathen.
V336.	Conversion to Judaism.
V340.	Miracle manifested to non-believers
V341.	Pagan sybil draws picture of Madonna and Child in sand.
V342.	Sign of cross intimidates Jews.
V343.	Jews protesting against marriage of Jewess and Christian are struck dumb.
V344.	Temple about to be taken over by pagans saved by appearance of a Sign of the Cross (image of the Virgin).
V345.	Dove flies out of man's mouth.
V346.	Skeptic kicked by sacrificial animal.
V347.	Idols found on their faces after saint's arrival.
V350.	Conflicts between religions
V351.	Duel (debate) to prove which religion is better.
V351.1.	Wise heretic is vanquished in debate with a Christian.
V351.1.1.	Brahmin wins a discussion on religion.
V351.2.	Unbeliever loses argument with hermit.
V351.3.	Magician overpowered in contest with a saint.
V351.3.1.	Contest of St. Peter with Simon Magus, a magician.
V351.4.	Prayer-contest to prove which religion is better.
V351.5.	Contest of miraculous powers between a Yogi and a Musselman.
V352.	Pagan disputant with Christian stricken dumb.
V352.1.	Pagan disputant with Christian bested by the words put in his mouth by God.
V354.	Life of heroic age preferable to Christian living.
V355.	Buddhists become slaves of Taoists because they cannot produce rain.
V356.	Christian hero (saint) overthrows heathen idols.
V356.1.	Saint dispels pagan devils from ancient shrines.
V356.2.	Pagan shrines and idols, or magic books destroyed by fire from heaven.
V356.2.1.	Heathen idols sink into earth up to their necks through power of saint.
V356.3.	Saint's bachall pointed at idol defaces it.
V360.	Christian and Jewish traditions about each other
V361.	Christian child killed to furnish blood for Jewish rite.
V362.	Plague from Jews' poisoning wells.
V363.	Jewish child thrown into oven by father for taking eucharist.
V363.1.	Jewish child resurrected (saved by power of Virgin Mary) after being burned to ashes for eating consecrated bread in Christian church.
V364.	A Christianized Jew becomes a priest.
V365.	Jewish traditions concerning non-Jews.
V380.	Religious beliefs--miscellaneous.
V381.	Heathen beats his god because of misfortune.
V382.	Doctor ridicules belief in Devil, Heaven, and Hell.
V383.	Religious fanaticism.
V383.1.	Prolonged prostration in worship causes death.
V383.2.	Hindu drinks water by mistake from Mohammedan's vessel: his fortune turns to evil.
V385.	Romans won't include Jesus in their pantheon because of his poverty which they hate.
V400.	Charity
V410.	Charity rewarded
V410.1.	Charity rewarded above prayer or hearing of masses.
V410.2.	Prince's motto: charity conquers.
V411.	Miraculous reward for charities.
V411.1.	Queen gives away a sleeve of her dress: miraculously restored.
V411.2.	Saint exchanges coat with beggar: gold sleeves miraculously appear.
V411.3.	Man who has given all in charity has foot amputated: restored miraculously.
V411.4.	Stones turn to gold for charitable money-lender.
V411.5.	Treasure given away by saint miraculously restored.
V411.5.1.	Man earns as much as he gave away for charity in his former life.
V411.6.	Food given away by saint miraculously restored.
V411.7.	Charitable king blows nose after having given to beggar.
V411.8.	Jesus appears to St. Martin when he gives his cloak to beggar.
V411.9.	Charity miraculously repaid: flame settles on forehead.
V412.	Miraculous manifestations during act of charity.
V412.1.	Bread stolen by St. Nicholas for purpose of feeding poor is miraculously restored.
V412.2.	The more bread (flour) the monks give to the poor the more God places in their bins.
V413.	Son's acts of charity save his father's soul.
V414.	Saint shares punishment of sinful man whose cloak he shared in life.
V415.	Children envious of money given by deceased father to bishop.
V416.	Act of charity obliterates sin.
V416.1.	Man convicted of cheating at his bookkeeping is excused when it is learned that he has given the money to the poor.
V420.	Reward of the uncharitable.
V421.	Shipman refuses alms: ship turned to stone.
V422.	Uncharitable knight drives bargain even in giving alms: devoured by serpents.
V425.	Uncharitable pope wanders after death.
V430.	Charity--miscellaneous motifs.
V431.	Charity of usurers ineffective.
V432.	Man beggars self by charity.
V433.	Charity of saints.
V434.	Conqueror restores kingship to king for charity.
V435.	Pious man charitable to man who has formerly refused him charity.
V436.	Mendicant refuses to accept alms from barren woman.
V437.	Saint repeatedly bestows father's goods upon the poor.
V438.	Merit for charity lost by asking work in return.
V440.	Other religious virtues
V441.	Forgiveness.
V441.1.	Saint heals enemy.
V450.	Religious orders
V451.	First-born son and one of every ten born thereafter given to Church.
V453.	Levites as religious order.
V460.	Clerical virtues and vices.
V461.	Clerical virtue.
V461.1.	Obedient and industrious nun the worthiest in the convent.
V461.2.	Truthful monk refuses to cheat even for his order.
V461.3.	Chastity as clerical virtue.
V461.4.	Submission as clerical virtue.
V461.4.1.	Truthfulness as clerical virtue.
V461.5.	Extended meditation as clerical virtue.
V461.6.	Monk lives where people speak ill of him to avoid danger of flattery.
V461.7.	Clerical virtue of absolute faith.
V461.8.	Poverty as saintly virtue.
V462.	Asceticism.
V462.0.1.	Kingship renounced to become an ascetic.
V462.0.2.	Since salvation is predestined, asceticism deemed useless.
V462.0.3.	Husband abandons wife to become ascetic.
V462.0.4.	Murderer becomes ascetic.
V462.1.	Maintaining silence as ascetic practice.
V462.2.	Ascetic fasting.
V462.2.1.	Ascetic faster increases his sufferings by placing food and drink before himself.
V462.2.2.	Person refuses to eat dainties.
V462.2.2.1.	Saint refuses pearls as alms and asks for food.
V462.2.3.	Death from ascetic devotions.
V462.3.	Ascetic weeping.
V462.4.	Asceticism: allowing self no repose.
V462.4.1.	Asceticism: cleric practices continual genuflexion.
V462.4.2.	Cross vigil.
V462.4.3.	Saint always extends one hand toward heaven while performing such acts as eating or reaping.
V462.5.	Ascetic cleric tortures his flesh.
V462.5.0.1.	Ascetic cleric prays to become diseased.
V462.5.1.	Ascetic cleric wears hair garment.
V462.5.1.1.	Saint never wears woolen clothing, but skins of wolves and other beasts.
V462.5.1.2.	Ascetic cleric sleeps (prays) with wet sheet (mantle) about him.
V462.5.2.	Ascetic cleric sleeps on stone.
V462.5.2.1.	Saint takes but little sleep.
V462.5.2.2.	Saint stands for seven years without sleep.
V462.6.	Ascetic cleric avoids listening to music.
V462.7.	Ascetic cleric never smiles.
V462.8.	Ascetic immersion.
V462.8.1.	Saint confines himself in narrow pen during Lent.
V462.8.2.	Saint stands (asleep) while bird builds nest and hatches brood in his hand.
V462.9.	Ascetic cleric leads mendicant life.
V462.10.	Ascetic cleric lives for seven years on whale's back.
V462.11.	Ascetic cleric renounces world (to become a herder).
V462.12.	Monk refuses chance of having temptation removed since he considers it strengthening to have it ever present to test him.
V462.13.	Evil ascetic misuses magic powers obtained through religious meditation.
V462.14.	Boy takes twelve years to wash off ascetic's dirt.
V463.	Religious martyrdom.
V463.1.	Cleric surrenders life that body may consecrate land.
V463.2.	First martyr: John the Baptist.
V464.	Self-torture to secure holiness.
V465.	Clerical vices.
V465.1.	Incontinence of clergy.
V465.1.1.	Incontinent monk (priest).
V465.1.1.1.	Monk seduces girl; then kills her; becomes infidel.
V465.1.1.2.	Marriage of clerics.
V465.1.2.	Incontinent nun.
V465.1.2.1.	Nun hidden by abbess from pursuing knight betrays her own hiding place to him.
V465.1.2.2.	Nun tempted into sinning with man who tells her God can't see things that happen in the dark.
V466.	Simony.
V466.1.	Pope guilty of simony.
V467.	Priest uses cook-book instead of breviary.
V468.	Priest is bribed into betraying the confessional.
V470.	Clerical vows
V471.	Taking clerical vows heals disease.
V472.	Clerical vows because of disappointment in love.
V472.1.	Man becomes hermit when he realizes selfishness of his beloved's love.
V473.	Former monk refuses to take pay for his work, considering it as a religious act.
V475.	Renunciation of clerical vows.
V475.1.	Monk who has left order punished (dies in torment).
V475.2.	Monk who has left his order forgiven and miraculously reinstated.
V475.3.	Man who is disappointed with his religious order renounces his vow.
V475.4.	Saint leaves his order because he is fond of music.
V475.5.	Anchorite tempted by money to return to worldly life.
V510.	Religious visions
V510.1.	God speaks in vision to devotee.
V510.2.	Only man without sin can see God.
V511.	Visions of the other world.
V511.1.	Visions of heaven.
V511.1.1.	Saints have visions of heaven.
V511.1.2.	Vision of angels defending road to heaven against devils.
V511.2.	Visions of hell.
V511.2.1.	Vision of fires of hell.
V511.2.2.	Vision of gate of hell.
V511.2.3.	Girl sees vision of her mother in hell.
V511.3.	Visions of purgatory.
V511.4.	Visions of Land of the Saints.
V512.	Vision of judgment.
V512.1.	His faith into the balance.
V512.2.	Man whose only good deed was unintentional sees this deed outweigh all his evil in the scales of judgment.
V513.	Saints have miraculous visions.
V513.1.	Saint incited (instructed) through vision.
V513.2.	Vision of the earth in the devil's snares.
V514.	Non-religious visions.
V515.	Allegorical visions.
V515.1.	Allegorical visions--religious.
V515.1.1.	Vision of chairs (thrones) in heaven.
V515.1.2.	Wife sees moon enter mouth of husband; husband sees star enter mouth of wife: famous child (saint) will be born.
V515.1.3.	Saint sees vision of flames covering Ireland quenched except for sparks; then great light appears, dispelling darkness.
V515.1.3.1.	When shower falls, small stone becomes larger, large stone wastes away.
V515.1.3.2.	Vision in which swineherd sees yew tree upon a rock, with an oratory in front of it and angels ascending from it.
V515.1.4.	Constantine's vision of the Cross.
V515.1.5.	Vision of dry bones.
V515.2.	Allegorical visions--political.
V515.2.1.	Vision in which chieftain sees pair of gray seals that sucked at his two breasts.
V515.2.1.1.	Vision in which king sees whelp reared by him gather dogs of Ireland and Britain against him but suffer death in battle at last.
V515.2.2.	Vision in which saint foresees allegorically the ramifications of king's family Irish myth: Cross.
V515.2.3.	Vision in which king sees his four sons changed into lion, greyhound, beagle, cur, which fight with alternating success, until lion subdues the other three.
V516.	Vision of future.
V520.	Salvation
V522.	Sinner reformed after visit to heaven and hell.
V523.	The only king ever saved in spite of himself.
V525.	Sinner who thinks of God saved; devotee who thinks of worldly things goes to hell.
V526.	Worship of particular deity brings reward of birth in Brahma-world.
V530.	Pilgrimages
V531.	Pilgrimage to Holy Land.
V531.1.	Pilgrimage to follow roads Christ walked.
V532.	Pilgrimage to Mecca.
V533.	Pilgrimage to Benares.
V535.	Pilgrimage to Jerusalem.
V540.	Intervention of Providence saves person's life
V541.	Man is prevented from taking passage on ship which later sinks.
V542.	Man hears voice telling him to leave danger spot in mine.
W0.	Favorable traits of character
W2.	Good inclinations enter body at puberty.
W10.	Kindness
W10.1.	Saint never drives fly or gnat from his face.
W10.2.	Saint gives calf to wolf.
W11.	Generosity.
W11.1.	Philanthropist will give his spurs if someone will drive his horse for him.
W11.2.	Munificent monarch.
W11.2.1.	Emperor thinks day lost when he gives no gifts.
W11.2.2.	King will not eat breakfast till gifts are given.
W11.3.	Man divides money into three parts: (1) for the poor, (2) for pilgrims, (3) for himself and family.
W11.4.	Man lets himself be sold as slave so as to practice generosity.
W11.4.1.	Brahmin steals to feed guests (deities).
W11.5.	Generosity toward enemy.
W11.5.1.	Ruler pardons his enemies.
W11.5.1.1.	Man pardons his assailants.
W11.5.2.	Ruler pardons emissary who has come to murder him.
W11.5.3.	Wronged knight conquers enemy and then pardons him.
W11.5.4.	Conqueror returns defeated man's wife and family to him.
W11.5.5.	Conqueror spares city.
W11.5.6.	Ruler reproaches son for bringing him the head of his fallen enemy.
W11.5.7.	Man saved through intercession of enemy.
W11.5.7.1.	Man pays fine for enemy who is falsely accused.
W11.5.8.	Captor contributes to captive's ransom.
W11.5.9.	Warrior gives steed to his enemy.
W11.5.9.1.	Calumniated woman intercedes for accusers.
W11.5.9.2.	Man's life spared through the intercession of the daughter he has wronged.
W11.5.10.	Champion grants requested boon of safe convoy to his enemies.
W11.5.11.	Chieftain spares enemies whom he takes unawares (unarmed).
W11.5.11.1.	Chieftain who takes king unawares, spares him on condition that chieftain be called "lover" by women of king's tribe.
W11.5.12.	Hero in battle refuses to slay charioteers, women, or physicians.
W11.6.	Ruler generously settles quarrel between loser and finder of money.
